List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
Nemerle|_$^../concepts/nemerle.html|_$^n|_$^1
Boo|_$^../concepts/boo.html|_$^boo|_$^1
Felix|_$^../concepts/felix.html|_$^flx flxh|_$^2
Mercury|_$^../concepts/mercury.html|_$^m moo|_$^2
CWL|_$^../concepts/common-workflow-language.html|_$^cwl|_$^1
Ring|_$^../concepts/ring.html|_$^ring rh rform|_$^3
Mirah|_$^../concepts/mirah.html|_$^druby duby mirah|_$^3
Q|_$^../concepts/q.html|_$^q|_$^1
AspectJ|_$^../concepts/aspectj.html|_$^aj|_$^1
SuperCollider|_$^../concepts/supercollider.html|_$^sc scd|_$^2
nomnoml|_$^../concepts/nomnoml.html|_$^nomnoml|_$^1
chaiscript|_$^../concepts/chaiscript.html|_$^chai|_$^1
Dylan|_$^../concepts/dylan.html|_$^dylan dyl intr lid|_$^4
Smarty|_$^../concepts/smarty.html|_$^smarty tpl|_$^2
Xojo|_$^../concepts/xojo.html|_$^xojo_code xojo_menu xojo_report xojo_script xojo_toolbar xojo_window|_$^6
Scroll|_$^../concepts/scroll.html|_$^scroll|_$^1
Mu|_$^../concepts/mu.html|_$^mu|_$^1
CodeQL|_$^../concepts/codeql.html|_$^ql qll|_$^2
Modula-3|_$^../concepts/modula-3.html|_$^i3 ig m3 mg|_$^4
SCSS|_$^../concepts/scss.html|_$^sass scss|_$^2
ooc|_$^../concepts/ooc.html|_$^ooc|_$^1
TLA|_$^../concepts/tla.html|_$^tla|_$^1
REBOL|_$^../concepts/rebol.html|_$^r reb r2 r3 rebol|_$^5
SugarSS|_$^../concepts/sugarss.html|_$^sss|_$^1
Oz|_$^../concepts/oz.html|_$^oz|_$^1
Meson|_$^../concepts/meson.html|_$^meson.build meson_options.txt|_$^2
Nit|_$^../concepts/nit.html|_$^nit|_$^1
Raku|_$^../concepts/raku.html|_$^pm6 raku rakumod 6pl 6pm nqp p6 p6l p6m pl pl6 pm t|_$^13
Ioke|_$^../concepts/ioke.html|_$^ik|_$^1
Gosu|_$^../concepts/gosu.html|_$^gs gsp gst gsx vark|_$^5
xBase|_$^../concepts/xbase.html|_$^prg prw ch|_$^3
JCL|_$^../concepts/jcl.html|_$^jcl|_$^1
Maxima|_$^../concepts/maxima.html|_$^mac max|_$^2
Self|_$^../concepts/self.html|_$^self|_$^1
Modelica|_$^../concepts/modelica.html|_$^mo|_$^1
