id	homepage	gits	pldbInterview	twitter	born	died	wikipedia	country	primaryLink
Kristen Nygaard					1926	2002	https://en.wikipedia.org/wiki/Kristen_Nygaard	Norway	https://en.wikipedia.org/wiki/Kristen_Nygaard
P. J. Plauger					1944		https://en.wikipedia.org/wiki/P._J._Plauger	United States	https://en.wikipedia.org/wiki/P._J._Plauger
Paul Graham					1964		https://en.wikipedia.org/wiki/Paul_Graham_(programmer)	United Kingdom	https://en.wikipedia.org/wiki/Paul_Graham_(programmer)
Paul Hudak					1952		https://en.wikipedia.org/wiki/Paul_Hudak	United States	https://en.wikipedia.org/wiki/Paul_Hudak
Peter J. Weinberger					1942		https://en.wikipedia.org/wiki/Peter_J._Weinberger	United States	https://en.wikipedia.org/wiki/Peter_J._Weinberger
Peter Naur					1928		https://en.wikipedia.org/wiki/Peter_Naur	Denmark	https://en.wikipedia.org/wiki/Peter_Naur
Ralph Griswold					1934		https://en.wikipedia.org/wiki/Ralph_Griswold	United States	https://en.wikipedia.org/wiki/Ralph_Griswold
Rasmus Lerdorf	https://lerdorf.com/bio/			https://x.com/rasmus	1968		https://en.wikipedia.org/wiki/Rasmus_Lerdorf	Canada	https://lerdorf.com/bio/
Raymond F. Boyce					1947		https://en.wikipedia.org/wiki/Raymond_F._Boyce	United States	https://en.wikipedia.org/wiki/Raymond_F._Boyce
Rich Hickey		https://github.com/richhickey			1959		https://en.wikipedia.org/wiki/Rich_Hickey	United States	https://github.com/richhickey
Richard P. Gabriel					1949		https://en.wikipedia.org/wiki/Richard_P._Gabriel	United States	https://en.wikipedia.org/wiki/Richard_P._Gabriel
Richard Stallman	https://www.stallman.org/				1953		https://en.wikipedia.org/wiki/Richard_Stallman	United States	https://www.stallman.org/
Rob Pike	http://herpolhode.com/rob/	https://github.com/robpike			1956		https://en.wikipedia.org/wiki/Rob_Pike	Canada	http://herpolhode.com/rob/
Rob Gordon		https://github.com/rob-gordon		https://x.com/tone_row_				Canada	https://github.com/rob-gordon
Robert Bruce Findler					1971		https://en.wikipedia.org/wiki/Robert_Bruce_Findler	United States	https://en.wikipedia.org/wiki/Robert_Bruce_Findler
Robert Fourer					1949		https://en.wikipedia.org/wiki/Robert_Fourer	United States	https://en.wikipedia.org/wiki/Robert_Fourer
Robert Gentleman					1957		https://en.wikipedia.org/wiki/Robert_Gentleman_(statistician)	United States	https://en.wikipedia.org/wiki/Robert_Gentleman_(statistician)
Robert Griesemer		https://github.com/griesemer			1964		https://en.wikipedia.org/wiki/Robert_Griesemer	Germany	https://github.com/griesemer
Roberto Ierusalimschy	https://www.inf.puc-rio.br/~roberto/				1960		https://en.wikipedia.org/wiki/Roberto_Ierusalimschy	Brazil	https://www.inf.puc-rio.br/~roberto/
Robin Milner					1934		https://en.wikipedia.org/wiki/Robin_Milner	United Kingdom	https://en.wikipedia.org/wiki/Robin_Milner
Roger Hui					1953		https://en.wikipedia.org/wiki/Roger_Hui	Canada	https://en.wikipedia.org/wiki/Roger_Hui
Ross Ihaka					1954		https://en.wikipedia.org/wiki/Ross_Ihaka	New Zealand	https://en.wikipedia.org/wiki/Ross_Ihaka
Ryan Dahl					1980		https://en.wikipedia.org/wiki/Ryan_Dahl	United States	https://en.wikipedia.org/wiki/Ryan_Dahl
Scott Fahlman	https://www.cs.cmu.edu/~sef/		https://pldb.io/blog/scottFalhmanInterview.html		1948		https://en.wikipedia.org/wiki/Scott_Fahlman	United States	https://www.cs.cmu.edu/~sef/
Shriram Krishnamurthi					1973		https://en.wikipedia.org/wiki/Shriram_Krishnamurthi	United States	https://en.wikipedia.org/wiki/Shriram_Krishnamurthi
Sophie Wilson					1957		https://en.wikipedia.org/wiki/Sophie_Wilson	United Kingdom	https://en.wikipedia.org/wiki/Sophie_Wilson
Stefan Karpinski					1982		https://en.wikipedia.org/wiki/Stefan_Karpinski	United States	https://en.wikipedia.org/wiki/Stefan_Karpinski
Stephen Wolfram	https://www.stephenwolfram.com/				1959		https://en.wikipedia.org/wiki/Stephen_Wolfram	United Kingdom	https://www.stephenwolfram.com/
Steve Crocker					1944		https://en.wikipedia.org/wiki/Steve_Crocker	United States	https://en.wikipedia.org/wiki/Steve_Crocker
